Income,CreditScore,EmploymentStatus,LoanAmount,RepaymentHistory,LoanStatus
38141,625,Self-Employed,360655,Average,Not Eligible
100356,709,Employed,696403,Good,Eligible
125878,417,Employed,582893,Good,Eligible
91910,524,Self-Employed,412462,Good,Eligible
76044,831,Self-Employed,444597,Good,Eligible
87214,412,Employed,856242,Poor,Not Eligible
137930,439,Employed,299415,Good,Eligible
139324,300,Employed,729682,Average,Not Eligible
53827,389,Employed,91869,Good,Eligible
75820,619,Employed,607243,Good,Not Eligible
82623,849,Employed,635676,Average,Eligible
101734,438,Employed,815612,Poor,Not Eligible
95450,810,Employed,60207,Good,Eligible
113426,558,Employed,268401,Good,Eligible
137845,309,Employed,209292,Good,Eligible
42299,560,Employed,527266,Good,Not Eligible
63585,471,Self-Employed,546762,Good,Not Eligible
129225,312,Employed,255157,Good,Eligible
84044,467,Unemployed,72031,Good,Not Eligible
62557,620,Self-Employed,513937,Average,Not Eligible
69080,618,Employed,917239,Good,Not Eligible
129556,628,Self-Employed,645600,Good,Eligible
22693,849,Employed,634054,Good,Eligible
115003,718,Employed,193521,Average,Eligible
115259,394,Employed,401977,Poor,Not Eligible
132235,617,Employed,237771,Good,Eligible
89163,535,Employed,287199,Average,Not Eligible
45939,633,Employed,811019,Good,Not Eligible
68925,675,Employed,810129,Good,Eligible
62941,758,Self-Employed,685329,Good,Eligible
41834,436,Employed,690473,Good,Not Eligible
38047,846,Self-Employed,227164,Average,Eligible
46105,812,Employed,506887,Poor,Not Eligible
95766,595,Employed,584638,Good,Eligible
35707,619,Self-Employed,801518,Average,Not Eligible
41976,648,Employed,937291,Good,Not Eligible
64262,528,Employed,563313,Good,Not Eligible
145117,569,Employed,835858,Good,Eligible
43776,590,Employed,118487,Good,Not Eligible
50080,464,Unemployed,198694,Good,Not Eligible
148376,304,Employed,173853,Good,Eligible
86842,678,Unemployed,365261,Good,Eligible
81373,377,Employed,285062,Good,Eligible
26776,709,Employed,501610,Average,Not Eligible
112787,431,Employed,283077,Good,Eligible
147948,341,Employed,937516,Poor,Not Eligible
75016,388,Employed,73782,Good,Eligible
29474,701,Self-Employed,559492,Average,Not Eligible
125830,595,Self-Employed,864886,Poor,Not Eligible
78053,594,Employed,904336,Average,Not Eligible
41959,825,Unemployed,704224,Good,Not Eligible
25530,721,Self-Employed,458808,Average,Not Eligible
114856,322,Self-Employed,203245,Good,Eligible
139101,442,Employed,172258,Good,Eligible
23748,444,Employed,685956,Good,Not Eligible
117504,524,Employed,504418,Good,Eligible
118098,802,Employed,532616,Good,Eligible
33545,403,Employed,436328,Poor,Not Eligible
147659,338,Self-Employed,556581,Average,Not Eligible
86199,497,Employed,473966,Good,Eligible
54766,690,Employed,328710,Poor,Eligible
93530,478,Unemployed,712550,Good,Not Eligible
113557,747,Self-Employed,612621,Poor,Eligible
81087,799,Employed,434073,Good,Eligible
115839,314,Self-Employed,786265,Good,Eligible
136183,588,Employed,663859,Average,Not Eligible
88840,777,Employed,170263,Average,Eligible
138451,530,Employed,969093,Average,Not Eligible
74384,719,Employed,599523,Poor,Not Eligible
71005,456,Employed,50159,Average,Not Eligible
66576,849,Employed,717505,Average,Eligible
59353,740,Employed,212993,Poor,Eligible
82003,396,Employed,417003,Average,Not Eligible
103211,710,Employed,197309,Good,Eligible
72733,588,Self-Employed,157507,Poor,Not Eligible
85318,553,Employed,975748,Good,Not Eligible
129953,495,Employed,64743,Average,Not Eligible
109474,821,Employed,802462,Poor,Eligible
43664,816,Employed,96101,Average,Eligible
87172,417,Employed,292717,Average,Not Eligible
105616,458,Self-Employed,695822,Average,Not Eligible
145879,527,Employed,396371,Good,Eligible
113264,515,Employed,280604,Poor,Not Eligible
135386,314,Self-Employed,237450,Good,Eligible
46736,456,Employed,907558,Good,Not Eligible
114209,560,Employed,892503,Good,Eligible
123041,456,Employed,776481,Good,Eligible
132859,346,Employed,386907,Good,Eligible
132181,623,Employed,537030,Average,Not Eligible
20854,429,Employed,809710,Good,Not Eligible
110084,710,Self-Employed,455453,Good,Eligible
58623,394,Self-Employed,721009,Good,Not Eligible
27392,591,Self-Employed,218785,Good,Not Eligible
75680,582,Self-Employed,254535,Average,Not Eligible
146354,368,Employed,750769,Good,Eligible
66717,310,Self-Employed,229838,Good,Eligible
139937,553,Employed,620442,Good,Eligible
107092,849,Employed,319160,Good,Eligible
70859,433,Employed,522779,Good,Eligible
145657,322,Employed,491904,Good,Eligible
124095,645,Employed,926110,Average,Not Eligible
46309,601,Unemployed,948488,Average,Not Eligible
107455,662,Employed,628526,Good,Eligible
83734,695,Employed,370752,Poor,Eligible
90467,517,Employed,663369,Good,Eligible
72662,440,Self-Employed,297644,Good,Eligible
118506,509,Employed,999401,Poor,Not Eligible
129751,759,Self-Employed,887393,Good,Eligible
138906,655,Employed,249775,Poor,Eligible
32688,623,Employed,863349,Good,Not Eligible
45342,432,Employed,990240,Good,Not Eligible
57157,426,Self-Employed,864422,Good,Not Eligible
87863,405,Employed,112551,Average,Not Eligible
126308,677,Employed,784983,Average,Eligible
72083,350,Employed,727800,Average,Not Eligible
126081,328,Employed,216277,Good,Eligible
85733,761,Employed,130811,Good,Eligible
109045,595,Employed,829128,Good,Eligible
54698,596,Employed,891535,Good,Not Eligible
130078,706,Employed,514028,Poor,Eligible
100623,704,Employed,418266,Good,Eligible
42671,645,Employed,284104,Average,Not Eligible
45184,719,Employed,593296,Average,Not Eligible
113384,481,Self-Employed,252346,Good,Eligible
62107,300,Employed,606690,Average,Not Eligible
106202,670,Self-Employed,234456,Good,Eligible
129893,730,Self-Employed,834282,Good,Eligible
71663,608,Employed,449009,Good,Eligible
35708,436,Self-Employed,546043,Good,Not Eligible
111906,501,Employed,186643,Good,Eligible
69811,735,Unemployed,540083,Good,Eligible
22811,612,Employed,983713,Good,Not Eligible
76250,416,Employed,163550,Good,Eligible
132547,543,Self-Employed,534146,Average,Not Eligible
92082,836,Unemployed,141218,Average,Eligible
144249,374,Self-Employed,183296,Good,Eligible
54754,685,Employed,549909,Good,Eligible
115742,509,Employed,568767,Average,Not Eligible
126642,774,Unemployed,229767,Good,Eligible
31411,717,Employed,957211,Average,Not Eligible
22911,646,Self-Employed,441858,Good,Not Eligible
87270,828,Self-Employed,815348,Good,Eligible
103763,478,Employed,290016,Good,Eligible
28680,481,Employed,82441,Good,Not Eligible
104896,324,Employed,288038,Average,Not Eligible
103879,479,Employed,744489,Good,Eligible
91295,800,Self-Employed,805612,Average,Eligible
108614,460,Employed,898800,Poor,Not Eligible
120689,476,Self-Employed,666410,Good,Eligible
31111,584,Employed,94760,Average,Not Eligible
57504,362,Unemployed,335622,Good,Not Eligible
21802,455,Employed,964313,Good,Not Eligible
28155,768,Employed,908286,Average,Not Eligible
93656,348,Employed,930662,Good,Not Eligible
59384,383,Self-Employed,397860,Good,Eligible
132561,660,Self-Employed,717540,Good,Eligible
67254,447,Self-Employed,148538,Good,Eligible
41918,641,Employed,589660,Poor,Not Eligible
105981,775,Employed,866228,Poor,Not Eligible
80713,362,Employed,561511,Average,Not Eligible
50306,659,Employed,271035,Average,Eligible
36646,626,Employed,935258,Good,Not Eligible
66843,440,Unemployed,432736,Good,Not Eligible
140975,514,Unemployed,405779,Good,Not Eligible
116601,734,Unemployed,685310,Good,Eligible
110735,617,Self-Employed,628328,Good,Eligible
127512,331,Employed,911789,Poor,Not Eligible
36371,584,Employed,776728,Good,Not Eligible
97371,604,Employed,652644,Good,Eligible
131472,728,Self-Employed,328355,Good,Eligible
22049,776,Employed,417570,Average,Not Eligible
51616,585,Employed,317986,Average,Not Eligible
123727,443,Employed,506331,Good,Eligible
132893,723,Employed,903284,Good,Eligible
146603,318,Self-Employed,437881,Average,Not Eligible
40932,317,Self-Employed,358112,Good,Not Eligible
137796,670,Employed,853940,Good,Eligible
49855,474,Unemployed,203077,Average,Not Eligible
81434,493,Self-Employed,104575,Average,Not Eligible
92694,801,Employed,523958,Good,Eligible
63016,412,Employed,724331,Average,Not Eligible
27400,413,Employed,468815,Average,Not Eligible
137858,521,Employed,530808,Good,Eligible
62642,563,Unemployed,641202,Poor,Not Eligible
35151,354,Employed,823422,Average,Not Eligible
71407,757,Self-Employed,641343,Average,Eligible
86690,461,Employed,661985,Average,Not Eligible
24499,679,Employed,680527,Good,Eligible
26295,386,Employed,285469,Good,Not Eligible
140885,354,Employed,173106,Good,Eligible
146071,775,Employed,841787,Good,Eligible
79040,477,Unemployed,890552,Good,Not Eligible
32183,690,Employed,517835,Poor,Not Eligible
49299,648,Employed,350486,Average,Not Eligible
32874,307,Employed,52257,Average,Not Eligible
136336,612,Employed,339508,Poor,Not Eligible
52711,742,Employed,730332,Average,Eligible
25539,627,Employed,161715,Good,Not Eligible
127941,353,Employed,76654,Good,Eligible
73351,538,Employed,786129,Good,Not Eligible
81267,528,Employed,393567,Average,Not Eligible
143133,350,Employed,341464,Good,Eligible
68354,563,Employed,595096,Average,Not Eligible
146063,717,Employed,626677,Good,Eligible
22557,395,Unemployed,538906,Average,Not Eligible
58360,387,Self-Employed,168581,Average,Not Eligible
102018,377,Employed,177927,Average,Not Eligible
22200,587,Employed,84773,Poor,Not Eligible
132476,419,Unemployed,756528,Average,Not Eligible
88497,790,Self-Employed,470963,Poor,Eligible
66975,751,Employed,388540,Poor,Eligible
41357,799,Self-Employed,551590,Average,Not Eligible
139121,464,Employed,419836,Average,Not Eligible
97505,481,Employed,264764,Good,Eligible
22869,768,Employed,631793,Good,Eligible
146114,306,Employed,922328,Good,Eligible
81135,629,Unemployed,592423,Good,Not Eligible
70108,450,Self-Employed,665175,Good,Not Eligible
132296,384,Employed,172118,Poor,Not Eligible
114179,446,Employed,359521,Poor,Not Eligible
110272,680,Employed,204626,Average,Eligible
58467,847,Employed,898923,Good,Eligible
43328,584,Self-Employed,295739,Good,Not Eligible
139181,381,Employed,894715,Good,Eligible
111412,813,Employed,528356,Good,Eligible
106831,822,Self-Employed,329067,Good,Eligible
23987,685,Employed,359735,Good,Eligible
78871,770,Self-Employed,636549,Poor,Not Eligible
42399,418,Employed,366480,Average,Not Eligible
148391,695,Unemployed,386227,Good,Eligible
66214,831,Employed,635236,Good,Eligible
119522,560,Employed,290891,Good,Eligible
106416,555,Employed,214074,Good,Eligible
90271,525,Employed,523314,Poor,Not Eligible
64064,352,Self-Employed,559452,Good,Not Eligible
145615,799,Self-Employed,338816,Good,Eligible
90091,805,Employed,840645,Good,Eligible
127450,663,Employed,191365,Good,Eligible
60818,579,Employed,499076,Average,Not Eligible
65525,457,Employed,112507,Average,Not Eligible
39830,358,Employed,107134,Average,Not Eligible
37429,427,Self-Employed,183172,Good,Not Eligible
26893,414,Employed,291225,Good,Not Eligible
136381,508,Employed,243069,Good,Eligible
99909,825,Employed,864604,Poor,Not Eligible
67333,820,Self-Employed,856564,Good,Eligible
23436,536,Self-Employed,823221,Good,Not Eligible
94290,580,Self-Employed,854631,Average,Not Eligible
96213,658,Employed,610897,Average,Eligible
25895,500,Employed,224037,Good,Not Eligible
39738,577,Self-Employed,713376,Good,Not Eligible
50746,534,Self-Employed,482995,Good,Not Eligible
69377,793,Employed,546013,Poor,Eligible
68404,303,Self-Employed,344025,Good,Eligible
74045,741,Self-Employed,787954,Poor,Not Eligible
117888,328,Employed,860904,Good,Eligible
149307,408,Self-Employed,550098,Poor,Not Eligible
59790,374,Employed,757173,Average,Not Eligible
127455,445,Employed,805728,Good,Eligible
25600,427,Employed,307803,Poor,Not Eligible
114660,341,Self-Employed,741381,Good,Eligible
113179,655,Self-Employed,366275,Poor,Eligible
60764,340,Self-Employed,729447,Average,Not Eligible
94543,333,Employed,62828,Good,Eligible
65714,316,Self-Employed,933096,Average,Not Eligible
76835,452,Self-Employed,566835,Poor,Not Eligible
122946,677,Self-Employed,706761,Good,Eligible
148191,641,Self-Employed,851625,Good,Eligible
129616,326,Self-Employed,273461,Average,Not Eligible
125983,586,Employed,488080,Average,Not Eligible
93744,467,Employed,463523,Good,Eligible
76491,567,Employed,414662,Good,Eligible
144123,754,Employed,331755,Good,Eligible
38589,700,Employed,749151,Good,Eligible
63484,775,Self-Employed,979454,Good,Eligible
102989,429,Employed,388384,Poor,Not Eligible
56212,662,Employed,289719,Good,Eligible
63525,591,Self-Employed,782763,Average,Not Eligible
67202,670,Employed,839177,Good,Eligible
52635,328,Employed,891675,Good,Not Eligible
83208,448,Employed,316010,Good,Eligible
53828,595,Employed,737605,Good,Not Eligible
38711,310,Employed,487940,Average,Not Eligible
23420,811,Employed,965113,Poor,Not Eligible
116752,412,Employed,645642,Average,Not Eligible
20301,486,Self-Employed,101374,Poor,Not Eligible
65236,526,Employed,164397,Poor,Not Eligible
135294,609,Self-Employed,298552,Good,Eligible
137858,397,Employed,436721,Average,Not Eligible
86235,354,Employed,473332,Average,Not Eligible
74240,705,Self-Employed,917461,Good,Eligible
144019,368,Employed,930006,Average,Not Eligible
85726,611,Employed,987951,Good,Not Eligible
30492,588,Employed,342575,Good,Not Eligible
135668,847,Employed,461124,Average,Eligible
121279,447,Employed,79336,Good,Eligible
26102,766,Employed,877424,Good,Eligible
70336,543,Employed,105350,Poor,Not Eligible
138015,790,Employed,643849,Average,Eligible
105314,806,Self-Employed,560470,Good,Eligible
143007,664,Self-Employed,888387,Average,Eligible
46641,781,Unemployed,111240,Good,Eligible
54584,500,Employed,725453,Good,Not Eligible
52745,453,Self-Employed,449371,Poor,Not Eligible
140542,749,Employed,620895,Average,Eligible
43093,800,Employed,761028,Good,Eligible
86105,372,Employed,988467,Average,Not Eligible
123746,595,Self-Employed,231196,Poor,Not Eligible
120199,316,Employed,365014,Good,Eligible
71885,516,Employed,499763,Good,Eligible
56631,360,Employed,638398,Good,Not Eligible
131217,341,Self-Employed,234626,Average,Not Eligible
92991,324,Self-Employed,726296,Average,Not Eligible
24014,338,Self-Employed,429039,Average,Not Eligible
31093,430,Employed,578714,Poor,Not Eligible
38070,797,Employed,794199,Average,Not Eligible
55777,528,Employed,864038,Good,Not Eligible
76958,407,Employed,491048,Good,Eligible
102074,471,Employed,602439,Good,Eligible
30729,734,Self-Employed,323452,Good,Eligible
119713,777,Unemployed,290853,Average,Eligible
65017,401,Self-Employed,828883,Poor,Not Eligible
86320,823,Self-Employed,226743,Good,Eligible
47751,574,Unemployed,140306,Good,Not Eligible
126400,343,Employed,799468,Average,Not Eligible
125864,316,Employed,943416,Good,Eligible
98069,629,Unemployed,576492,Good,Not Eligible
125647,796,Employed,142769,Good,Eligible
125510,311,Self-Employed,137265,Good,Eligible
74748,617,Employed,867563,Poor,Not Eligible
25801,515,Employed,102428,Good,Not Eligible
39190,638,Self-Employed,608158,Good,Not Eligible
69689,380,Unemployed,677835,Good,Not Eligible
124290,784,Self-Employed,810278,Poor,Eligible
70993,673,Employed,99067,Good,Eligible
49592,499,Self-Employed,812371,Good,Not Eligible
30647,836,Employed,162217,Good,Eligible
28716,765,Employed,989111,Good,Eligible
108891,388,Employed,468184,Good,Eligible
107545,567,Employed,673222,Average,Not Eligible
137638,788,Employed,192980,Good,Eligible
109912,837,Unemployed,993927,Good,Eligible
130627,346,Self-Employed,552367,Average,Not Eligible
90316,587,Employed,386851,Good,Eligible
146995,315,Employed,259329,Good,Eligible
22368,700,Unemployed,307354,Good,Not Eligible
97575,385,Unemployed,573406,Poor,Not Eligible
26655,549,Self-Employed,111215,Good,Not Eligible
126477,690,Employed,761195,Poor,Eligible
90031,634,Employed,361573,Average,Not Eligible
96429,818,Employed,918584,Good,Eligible
111083,436,Employed,682336,Poor,Not Eligible
107922,797,Employed,219530,Good,Eligible
75766,776,Unemployed,227241,Good,Eligible
144046,522,Employed,188731,Average,Not Eligible
33403,671,Employed,503830,Average,Not Eligible
52097,701,Employed,814265,Average,Eligible
98657,742,Employed,389384,Good,Eligible
140607,789,Employed,476009,Good,Eligible
30966,572,Employed,163688,Average,Not Eligible
144862,825,Employed,358617,Good,Eligible
119157,458,Self-Employed,933194,Good,Eligible
138834,451,Unemployed,794748,Good,Not Eligible
113848,487,Employed,540834,Good,Eligible
72921,397,Employed,943388,Poor,Not Eligible
69726,430,Self-Employed,430596,Good,Eligible
146141,470,Employed,761111,Poor,Not Eligible
70300,482,Employed,962743,Good,Not Eligible
42677,663,Self-Employed,784275,Average,Not Eligible
75609,338,Employed,319150,Good,Eligible
116825,826,Employed,299243,Good,Eligible
76661,796,Employed,648506,Good,Eligible
51024,815,Employed,246416,Good,Eligible
128211,648,Employed,606718,Good,Eligible
90313,696,Self-Employed,73091,Poor,Eligible
147813,460,Employed,831413,Average,Not Eligible
73006,315,Employed,598277,Good,Not Eligible
115285,792,Self-Employed,125451,Good,Eligible
35338,725,Employed,68990,Good,Eligible
88027,407,Employed,402414,Good,Eligible
112772,749,Self-Employed,916792,Average,Eligible
133632,610,Employed,300541,Poor,Not Eligible
100135,469,Self-Employed,872513,Good,Not Eligible
39508,845,Self-Employed,716393,Good,Eligible
140379,713,Employed,420416,Good,Eligible
23051,550,Employed,852673,Average,Not Eligible
68747,440,Unemployed,174932,Good,Not Eligible
134692,573,Employed,318083,Average,Not Eligible
107142,715,Self-Employed,163000,Average,Eligible
107235,338,Employed,752922,Good,Eligible
74021,328,Employed,609351,Average,Not Eligible
86412,776,Employed,543216,Good,Eligible
78335,617,Unemployed,782081,Average,Not Eligible
76179,544,Unemployed,732405,Good,Not Eligible
52093,571,Employed,559850,Good,Not Eligible
89678,739,Employed,487985,Poor,Eligible
100738,538,Self-Employed,883550,Poor,Not Eligible
59734,676,Employed,134703,Average,Eligible
92615,565,Employed,545164,Good,Eligible
93523,658,Self-Employed,464841,Average,Eligible
125103,639,Employed,810084,Good,Eligible
114476,688,Unemployed,702845,Poor,Not Eligible
122769,302,Employed,339220,Good,Eligible
37019,728,Employed,303317,Poor,Not Eligible
131721,441,Employed,245877,Poor,Not Eligible
103613,675,Self-Employed,881037,Average,Eligible
111794,623,Employed,396709,Good,Eligible
106672,445,Employed,531725,Good,Eligible
93847,592,Employed,875553,Poor,Not Eligible
102750,731,Self-Employed,867865,Good,Eligible
99634,698,Employed,617597,Poor,Eligible
48251,643,Employed,903900,Good,Not Eligible
123481,439,Self-Employed,487470,Good,Eligible
132566,486,Employed,903725,Poor,Not Eligible
45945,360,Employed,408402,Average,Not Eligible
110852,679,Self-Employed,874837,Good,Eligible
52217,739,Employed,617815,Good,Eligible
28308,618,Self-Employed,913659,Good,Not Eligible
25949,601,Employed,967996,Average,Not Eligible
71990,643,Self-Employed,798778,Good,Not Eligible
21150,310,Employed,189883,Poor,Not Eligible
109480,361,Employed,667632,Poor,Not Eligible
120235,525,Unemployed,205344,Good,Not Eligible
